comm,dso,symbol,cycles
"g4run","libG4processes.so","std::vector<CLHEP::HepLorentzVector, std::allocator<CLHEP::HepLorentzVector> >::_M_default_append",297264336
"g4run","libG4processes.so","0x00000000003ae3d4",297050346
"g4run","libG4processes.so","G4BGGNucleonElasticXS::CoulombFactor",295962836
"g4run","libG4processes.so","G4Fragment::G4Fragment",295561521
"g4run","libG4geometry.so","G4Navigator::GetMotherToDaughterTransform",294269638
"g4run","libG4event.so","G4StackManager::DefaultClassification",294116870
"g4run","libG4geometry.so","0x0000000000099990",294057873
"g4run","libG4clhep.so","CLHEP::operator/",293578633
"g4run","libG4particles.so","G4KaonMinus::Definition",292980754
"g4run","libG4processes.so","G4IonFluctuations::Factor",292561903
"g4run","libG4processes.so","G4NucleiModel::reset",292066835
"g4run","libG4processes.so","G4LorentzConvertor::reflectionNeeded",291946089
"g4run","libG4processes.so","G4InuclParticle::G4InuclParticle",291876597
"g4run","libG4processes.so","G4WentzelVIModel::ComputeGeomPathLength",291809625
"g4run","libG4processes.so","G4HadDecayGenerator::SetVerboseLevel",291799422
"g4run","libG4processes.so","G4NucleiModel::fillZoneRadii",291770376
"g4run","libstdc++.so.6.0.30","std::istream::sentry::sentry",291414403
"g4run","libG4processes.so","G4EmParameters::QuantumEntanglement",291244894
"g4run","libG4processes.so","G4CascadeCoalescence::FindClusters",291170075
"g4run","libG4geometry.so","G4IntersectionSolid::DistanceToIn",291138216
"g4run","libG4processes.so","0x00000000003d4ec4",290856737
"g4run","libG4processes.so","G4CascadeCoalescence::clusterType",289076351
"g4run","libG4processes.so","G4MuBremsstrahlungModel::ComputeMicroscopicCrossSection",280335486
"g4run","libG4processes.so","G4eBremsstrahlungRelModel::GetLPMFunctions",278787877
"g4run","libG4processes.so","G4EmCorrections::LShell",278636278
"g4run","libG4particles.so","G4KaonPlus::Definition",274527616
"g4run","libG4processes.so","G4InuclSpecialFunctions::generateWithFixedTheta",268887138
"g4run","libG4processes.so","G4EvaporationLevelDensityParameter::LevelDensityParameter",268443966
"g4run","libG4particles.so","0x0000000000034e30",267585082
"g4run","libG4processes.so","G4CascadeCoalescence::allNucleons",267372098
"g4run","libG4geometry.so","0x000000000009b6b4",266607267
"g4run","libG4processes.so","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Val_comp_iter<G4ParticleLargerEkin> >",265873112
"g4run","libG4processes.so","G4CascadeSampler<30, 8>::findFinalStateIndex",265747978
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNPChannelData, G4PionNucSampler>::getCrossSection",265649397
"g4run","libG4processes.so","G4Decay::StartTracking",265639729
"g4run","libG4processes.so","0x00000000003ae950",265320160
"g4run","libG4processes.so","0x00000000003cd710",265244426
"g4run","libG4processes.so","G4ExcitationHandler::BreakItUp",264929581
"g4run","libG4geometry.so","0x000000000009d404",264841067
"g4run","libG4processes.so","G4eplusAnnihilation::AtRestGetPhysicalInteractionLength",264739117
"g4run","libG4tracking.so","0x0000000000013270",264637281
"g4run","libG4processes.so","0x00000000003ca444",264566226
"g4run","libG4processes.so","G4IntraNucleiCascader::particleCanInteract",263957046
"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::DoesReIntegrate",263719478
"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection",243525505
"g4run","libG4processes.so","G4CascadeCoalescence::getClusterMomentum",243361469
"g4run","libG4processes.so","G4BraggIonModel::GetChargeSquareRatio",242631884
"g4run","libG4processes.so","G4BGGNucleonElasticXS::IsIsoApplicable",242551594
"g4run","libG4processes.so","0x00000000003b1944",242413920
"g4run","libG4clhep.so","CLHEP::RandGamma::genGamma",242394041
"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >",242376724
"g4run","libG4clhep.so","HepGeom::operator*",241976323
"g4run","libG4processes.so","G4PreCompoundFragment::IntegrateEmissionProbability",241060900
"g4run","libG4processes.so","G4BGGNucleonInelasticXS::IsIsoApplicable",240949756
"g4run","libG4processes.so","G4InuclSpecialFunctions::bindingEnergy",240757592
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePPChannelData, G4PionNucSampler>::getOutgoingParticleTypes",240554067
"g4run","libG4processes.so","G4InuclSpecialFunctions::randomInuclPowers",239596847
"g4run","libG4processes.so","0x00000000003d3994",239568204
"g4run","libG4processes.so","0x00000000003ba260",239344670
"g4run","libG4processes.so","G4EmParameters::Instance",239170328
"g4run","libG4geometry.so","G4CutTubs::Inside",239091775
"g4run","libG4geometry.so","0x000000000009bbe4",239039624
"g4run","libG4processes.so","0x00000000003bda54",238989200
"g4run","libG4geometry.so","G4Mag_EqRhs::SetChargeMomentumMass",238668956
"g4run","libG4processes.so","G4ExitonConfiguration::fill",238612699
"g4run","libG4geometry.so","0x0000000000099964",238549311
"g4run","libG4geometry.so","G4Region::AddMaterial",238365190
"g4run","libG4processes.so","G4eBremsstrahlungRelModel::ComputeBremLoss",238313829
"g4run","libG4geometry.so","0x000000000009ec50",238146406
"g4run","libG4processes.so","G4CascadeInterface::retryInelasticNucleus",238090677
"g4run","libG4geometry.so","0x000000000009b6b0",238035585
"g4run","libG4geometry.so","0x000000000009e2d4",238031033
"g4run","libG4geometry.so","G4BoundingEnvelope::CreateListOfPlanes",234770784
"g4run","libstdc++.so.6.0.30","__cxxabiv1::__vmi_class_type_info::__do_dyncast",233807430
"g4run","libpythia8.so","Pythia8::PDF::xf",223244438
"g4run","libG4particles.so","G4ParticleTable::FindParticle",218261095
"g4run","libG4processes.so","G4LorentzConvertor::getTRSMomentum",218061891
"g4run","libG4processes.so","G4GammaNuclearXS::IsElementApplicable",217120860
"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",216651341
"g4run","libG4processes.so","G4CascadeInterface::ApplyYourself",215909887
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getCrossSection",215835669
"g4run","libG4geometry.so","0x000000000009c5a4",215820821
"g4run","libG4processes.so","G4NeutronInelasticXS::SelectIsotope",215792861
"g4run","libG4particles.so","0x0000000000035684",214758519
"g4run","libG4processes.so","G4InuclCollider::deexcite",213912425
"g4run","libG4processes.so","0x00000000003b9d50",213859959
"g4run","libG4processes.so","0x00000000003b1090",213807783
"g4run","libG4processes.so","G4CascadeCoalescence::removeNucleons",213283802
"g4run","libG4processes.so","G4CascadeRecoilMaker::goodNucleus",213113469
"g4run","libG4processes.so","0x00000000003b01b0",212896931
"g4run","libG4geometry.so","0x0000000000099d20",212761351
"g4run","libG4geometry.so","G4NavigationLevel::G4NavigationLevel",212739642
"g4run","libG4processes.so","G4NucleiModel::passTrailing",212651593
"g4run","libG4processes.so","G4BGGPionElasticXS::GetElementCrossSection",212551176
"g4run","libG4processes.so","G4CascadeCoalescence::createNuclei",212315990
"g4run","libG4processes.so","G4IntraNucleiCascader::initialize",212274948
"g4run","libG4particles.so","G4Gamma::Gamma",211774484
"g4run","libG4processes.so","0x00000000003cf814",210533292
"g4run","libm.so.6","__cos_fma",201137488
"g4run","libG4geometry.so","G4Region::ScanVolumeTree",198688681
"g4run","libpythia8.so","Pythia8::ParticleDataEntry::mSel",197097490
"g4run","libG4geometry.so","std::vector<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> >, std::allocator<std::pair<HepGeom::Point3D<double>, HepGeom::Point3D<double> > > >::_M_default_append",195921008
"g4run","libG4processes.so","G4IntraNucleiCascader::processTrappedParticle",189509111
"g4run","libG4processes.so","0x00000000003d16d0",189358561
"g4run","libG4processes.so","0x00000000003b9d54",188987795
"g4run","libG4processes.so","0x00000000003ceb44",188864906
"g4run","libG4geometry.so","0x000000000009d2b0",188069832
"g4run","libG4event.so","0x000000000001c2d4",186751753
"g4run","libG4geometry.so","G4VIntersectionLocator::CheckAndReEstimateEndpoint",186423241
"g4run","libG4processes.so","G4CascadeRecoilMaker::collide",186154172
"g4run","libG4particles.so","0x0000000000035c90",186033199
"g4run","libG4processes.so","0x00000000003c4260",185973052
"g4run","libG4particles.so","0x0000000000033d94",185958268
"g4run","libG4processes.so","G4Fragment::~G4Fragment",185899069
"g4run","libG4processes.so","0x00000000003d4d50",185898178
"g4run","libG4processes.so","0x00000000003c9a40",185891537
"g4run","libG4processes.so","G4BGGPionInelasticXS::GetElementCrossSection",185851728
"g4run","libG4geometry.so","G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize",185726680
